PolyInx,Kbar3,h11,h12,h13,h22,EdgeList,TriangulationEstimation,PolytopeVerices,CiGenus,CiDegreeKbar
3,6,31,10,34,284,"[[3, 0], [2, 0], [2, 3], [1, 0], [1, 3], [1, 2], [1, 2]]",212533333333.333,"[[-1, -1, -1], [2, -1, -1], [-1, 2, -1], [-1, -1, 5]]","[0, 0, 0, 0]","[1, 2, 2, 1]"
7,6,40,16,31,296,"[[3, 0], [2, 0], [2, 3], [0, 1], [1, 3], [1, 2]]",25780000000000,"[[-1, -1, -1], [1, -1, -1], [-1, 5, -1], [-1, -1, 5]]","[0, 1, 0, 0]","[1, 3, 1, 1]"
127,6,31,8,32,280,"[[3, 0], [5, 0], [5, 3], [0, 4], [2, 3], [1, 5], [2, 4], [1, 4], [1, 2]]",214466666666.667,"[[-1, -1, -1], [1, 2, -1], [1, -1, 2], [-1, -1, 2], [1, -1, -1], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]"
129,6,32,9,32,282,"[[0, 2], [0, 5], [2, 5], [0, 4], [2, 3], [1, 5], [3, 4], [1, 4], [1, 3]]",3913333333333.33,"[[-1, -1, -1], [1, 3, -1], [-1, -1, 1], [1, -1, 3], [1, -1, -1], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]"
133,6,31,8,32,280,"[[3, 0], [4, 0], [2, 3], [2, 4], [1, 0], [1, 3], [1, 4], [1, 2]]",50253333333.3333,"[[-1, -1, -1], [2, -1, -1], [-1, 2, 2], [-1, -1, 2], [-1, 2, -1]]","[0, 0, 0, 0, 0]","[1, 2, 1, 1, 1]"
135,6,31,8,32,280,"[[1, 0], [5, 4], [3, 0], [2, 1], [2, 3], [5, 0], [4, 1], [5, 3], [4, 2]]",462200000000,"[[-1, -1, -1], [-1, -1, 0], [2, -1, 3], [2, -1, -1], [-1, 2, 0], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]"
235,6,35,12,32,288,"[[1, 0], [2, 0], [2, 1], [0, 5], [1, 4], [2, 3], [4, 5], [3, 5], [3, 4]]",1375333333333.33,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 4, -1], [1, -1, 4], [1, -1, -1]]","[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]"
13,10,29,10,46,324,"[[2, 1], [3, 1], [3, 0], [2, 0], [2, 3], [2, 3], [0, 1]]",15675043002.7848,"[[-1, -1, -1], [1, -1, -1], [-1, 4, -1], [-1, -1, 4]]","[0, 2, 0, 0]","[1, 5, 2, 2]"
51,10,24,7,48,318,"[[2, 0], [2, 1], [5, 0], [5, 2], [5, 3], [4, 0], [3, 4], [1, 4], [1, 3], [1, 3], [1, 3]]",57403296,"[[-1, -1, -1], [2, -1, 0], [0, -1, -1], [-1, 2, 0], [-1, -1, 3], [-1, 0, -1]]","[0, 0, 0, 0, 0, 0]","[1, 3, 1, 3, 1, 1]"
87,10,32,11,44,326,"[[4, 0], [0, 3], [2, 3], [2, 4], [0, 1], [1, 4], [1, 3], [1, 2], [1, 2]]",34873333333.3333,"[[-1, -1, -1], [1, -1, -1], [-1, 3, 1], [-1, 1, -1], [-1, -1, 5]]","[0, 1, 0, 0, 0]","[1, 5, 2, 1, 1]"
